[3, 5, 8, 1, 7, 2]
[3, 5, 8, 1, 7, 2]
[3, 5, 1, 8, 7, 2]
[3, 5, 1, 7, 8, 2]
[3, 5, 1, 7, 2, 8]
[3, 5, 1, 7, 2, 8]
[3, 1, 5, 7, 2, 8]
[3, 1, 5, 7, 2, 8]
[3, 1, 5, 2, 7, 8]
[3, 1, 5, 2, 7, 8]
[1, 3, 5, 2, 7, 8]
[1, 3, 5, 2, 7, 8]
[1, 3, 2, 5, 7, 8]
[1, 3, 2, 5, 7, 8]
[1, 3, 2, 5, 7, 8]
[1, 3, 2, 5, 7, 8]
[1, 2, 3, 5, 7, 8]
[1, 2, 3, 5, 7, 8]
[1, 2, 3, 5, 7, 8]
[1, 2, 3, 5, 7, 8]
[1, 2, 3, 5, 7, 8]
[1, 2, 3, 5, 7, 8]
[1, 2, 3, 5, 7, 8]
[1, 2, 3, 5, 7, 8]
[1, 2, 3, 5, 7, 8]
[1, 2, 3, 5, 7, 8]
[1, 2, 3, 5, 7, 8]
[1, 2, 3, 5, 7, 8]
[1, 2, 3, 5, 7, 8]
[1, 2, 3, 5, 7, 8]
